Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.0	0.00	  242.873260	   10.019388	  6.00	  242.873260	   10.019388	  6.00
 0.0	0.00	  139.312220	    4.133690	  6.00	  139.312220	    4.133690	  6.00
 0.0	0.00	  162.340490	   12.905600	  6.00	  162.340490	   12.905600	  6.00
 0.0	0.00	  155.477400	   11.465522	  6.00	  155.477400	   11.465520	  6.00
 0.0	0.00	  152.372890	    9.176082	  6.00	  152.372890	    9.176080	  6.00
 0.0	0.00	  240.417950	   13.577730	  6.00	  240.417950	   13.577730	  6.00
 0.0	0.00	  170.666630	   13.330537	  6.00	  170.666630	   13.330530	  6.00
 0.0	0.00	  218.086650	    9.933525	  6.00	  218.086650	    9.933525	  6.00
 0.0	0.00	  224.362170	    8.954702	  6.00	  224.362170	    8.954702	  6.00
 0.0	0.00	  120.393370	   12.084305	  6.00	  120.393370	   12.084305	  6.00
 0.0	0.00	  120.442390	    9.953597	  6.00	  120.442390	    9.953597	  6.00
 0.0	0.00	  145.597350	   14.630060	  6.00	  145.597350	   14.630060	  6.00
 0.0	0.00	  217.682080	   13.952403	  6.00	  217.682080	   13.952403	  6.00
 0.0	0.00	  129.397840	    7.808634	  6.00	  129.397840	    7.808630	  6.00
 1.2	0.14	  217.418530	    4.062692	  6.00	  217.418550	    4.062370	  6.00
 0.3	0.03	  146.911040	    7.018018	  6.00	  146.910960	    7.018030	  6.00
 0.1	0.01	  175.985580	   11.940595	  6.00	  175.985580	   11.940580	  6.00
 0.0	0.00	  241.712560	    8.157967	  6.00	  241.712560	    8.157970	  6.00
 0.0	0.00	  173.901640	   15.975044	  6.00	  173.901640	   15.975044	  6.00
 0.0	0.00	  120.118980	   15.453100	  6.00	  120.118980	   15.453100	  6.00
 0.0	0.00	  170.577330	   13.065050	  6.00	  170.577330	   13.065050	  6.00
16.8	1.98	  146.585170	    5.691834	  6.00	  146.585370	    5.687170	  6.00
 0.0	0.00	  146.585170	    5.691834	  6.00	  146.585170	    5.691840	  6.00
 0.0	0.00	  212.205910	   10.795935	  6.00	  212.205910	   10.795940	  6.00
 1.4	0.16	  147.918820	   14.038158	  6.00	  147.918750	   14.037780	  6.00
 0.1	0.01	  136.642890	    6.303792	  6.00	  136.642880	    6.303810	  6.00
 0.2	0.02	  152.654990	    5.150633	  6.00	  152.654970	    5.150670	  6.00
 0.0	0.00	  247.433780	   11.847122	  6.00	  247.433780	   11.847120	  6.00
 0.0	0.01	  128.654980	    4.471172	  6.00	  128.654970	    4.471180	  6.00
 0.0	0.00	  211.714670	   13.805935	  6.00	  211.714670	   13.805940	  6.00
 0.1	0.01	  226.055690	   10.912108	  6.00	  226.055710	   10.912110	  6.00
 0.1	0.01	  179.082510	    6.172696	  6.00	  179.082490	    6.172690	  6.00
 0.0	0.01	  154.563710	    7.038847	  6.00	  154.563700	    7.038840	  6.00
 0.0	0.00	  147.626290	    8.360022	  6.00	  147.626290	    8.360030	  6.00
 0.6	0.07	  135.672620	   13.107808	  6.00	  135.672500	   13.107920	  6.00
 0.1	0.01	  212.199070	   13.018731	  6.00	  212.199080	   13.018720	  6.00
 0.0	0.00	  202.217550	   11.097004	  6.00	  202.217540	   11.097000	  6.00
 0.0	0.00	  215.870840	   14.283182	  6.00	  215.870840	   14.283182	  6.00
 0.0	0.00	  161.974710	   10.897806	  6.00	  161.974710	   10.897810	  6.00
 0.0	0.00	  241.670840	    6.580931	  6.00	  241.670840	    6.580930	  6.00
 2.3	0.27	  118.843780	   15.093862	  6.00	  118.843510	   15.094440	  6.00
 0.0	0.00	  179.753120	    4.669635	  6.00	  179.753110	    4.669640	  6.00
 0.0	0.00	  120.180300	    8.638814	  6.00	  120.180300	    8.638814	  6.00
 0.0	0.00	  235.065950	   14.808350	  6.00	  235.065950	   14.808350	  6.00
 0.0	0.00	  127.840170	    7.000032	  6.00	  127.840170	    7.000030	  6.00
 0.0	0.00	  235.720050	   15.175247	  6.00	  235.720050	   15.175247	  6.00
 0.0	0.00	  236.806930	   10.751978	  6.00	  236.806930	   10.751978	  6.00
 0.1	0.01	  118.817200	   15.060019	  6.00	  118.817210	   15.060030	  6.00
 0.1	0.01	  175.862440	   11.398436	  6.00	  175.862460	   11.398440	  6.00
 0.0	0.00	  231.935370	    9.699124	  6.00	  231.935370	    9.699120	  6.00
 0.0	0.00	  125.966570	   14.751718	  6.00	  125.966570	   14.751718	  6.00
 0.3	0.03	  169.867010	    9.595632	  6.00	  169.867090	    9.595640	  6.00
 0.0	0.00	  209.673940	    6.695013	  6.00	  209.673940	    6.695013	  6.00
 0.0	0.00	  234.264930	    6.040174	  6.00	  234.264930	    6.040174	  6.00
 0.1	0.01	  211.351680	    7.610601	  6.00	  211.351710	    7.610610	  6.00
 0.0	0.00	  144.843020	    4.952385	  6.00	  144.843020	    4.952390	  6.00
 0.0	0.00	  209.130730	    8.353305	  6.00	  209.130730	    8.353305	  6.00
 0.0	0.00	  246.352840	   11.713698	  6.00	  246.352840	   11.713698	  6.00
 0.0	0.00	  232.629920	   14.710534	  6.00	  232.629920	   14.710530	  6.00
 0.8	0.09	  139.731450	   14.304883	  6.00	  139.731670	   14.304920	  6.00
 1.6	0.18	  143.512670	   11.006039	  6.00	  143.513040	   11.005800	  6.00
 0.0	0.00	  137.674310	    7.206704	  6.00	  137.674310	    7.206710	  6.00
